Especie,Abundancia_total,Cladoceros,Copepodos,Rotiferos,Clase,Porcentaje
Keratella tropica ,238.88888893,0,0,1,Rotifera,55.91677503614104
Chydorido cf. chinensis,46.66666667,1,0,0,Cladocera,10.923276982704708
Pompholix triloba ,45.555555559,0,0,1,Rotifera,10.663198959351563
Nauplios,35.555555559,0,1,0,Copepoda,8.322496748939177
Trichocerca sp ,13.33333333,0,0,1,Rotifera,3.1209362797696163
Lepadella sp1.,8.333333333,0,0,1,Rotifera,1.9505851752656331
Brachionus angularis ,6.666666666,0,0,1,Rotifera,1.5604681401188785
Copepoditos ,5.0,0,1,0,Copepoda,1.1703511052061937
Moina  sp. 1,4.444444444,1,0,0,Cladocera,1.0403120934125856
Lecane luna,3.333333334,0,0,1,Rotifera,0.7802340702935094
Brachionus caudatus ,3.333333333,0,0,1,Rotifera,0.7802340700594392
Keratella coclearis  ,3.333333333,0,0,1,Rotifera,0.7802340700594392
Poliarthra sp. ,3.333333333,0,0,1,Rotifera,0.7802340700594392
Lecane hamata,3.333333333,0,0,1,Rotifera,0.7802340700594392
Lecane lunaris ,2.222222222,0,0,1,Rotifera,0.5201560467062928
Brachionus havanaensis ,1.666666667,0,0,1,Rotifera,0.3901170351467547
Brachionus quadridentatus ,1.111111111,0,0,1,Rotifera,0.2600780233531464
Copepdodo Ciclopoideo sp1.,1.111111111,0,1,0,Copepoda,0.2600780233531464
