,Estacion,Laguna_base,Abundancia,Riqueza,Shannon_H,Equitatividad_J,pH,Temperatura ,Oxigeno mg/L,Conductividad ,Profundidad m,Turbidez m,ph lab,DBO5 mg O2/L
0,invierno,Crespo,3.136599954,5,0.928037091,0.576621865,9.11,12.5,9,1700,0.25,0.25,8.91,5
1,invierno,Espinillo,3.480895159,10.66666667,1.988960472,0.848964685,8.456666667,16.96666667,9.6,1425,0.66,0.66,7.6,5
2,invierno,Gazano,12254.77053,5,0.729670291,0.456080053,9.26,10.9,8.333333333,450.6666667,0.33,0.293333333,7.51,6
3,invierno,Hernandez,295,12,1.861218523,0.752337823,7.466666667,12.1,6.133333333,213,0.5,0.1,6.4,7
4,invierno,Inta,152.2685185,9,1.277624423,0.587669565,9.496666667,13.8,9.633333333,784.3333333,0.673333333,0.346666667,7.5,0
5,invierno,Termas,346.2962963,8.333333333,1.494472944,0.702539228,9.58,14.8,10.43333333,476.6666667,0.65,0.623333333,7.8,5
6,invierno,Viale,469.9999999,8,1.104323001,0.533725669,8.226666667,12.06666667,7.166666667,124,0.693333333,0.186666667,7.45,5
7,otonio,Crespo,142.4074074,9.333333333,1.471241984,0.656252836,9.326666667,11.96666667,3.633333333,1552.333333,0.26,0.26,8.91,9
8,otonio,Espinillo,42.47863247,5.666666667,1.134813776,0.656416037,8.6,14.9,3.433333333,1357.666667,0.716666667,0.716666667,7.6,3
9,otonio,Gazano,3003.333333,5.666666667,1.012562967,0.590352612,9.223333333,12.23333333,4.066666667,430,0.38,0.276666667,7.51,0
10,otonio,Hernandez,407.7777778,19.33333333,2.40726821,0.815583298,7.113333333,10.5,1.766666667,134.3333333,0.523333333,0.236666667,6.4,0
11,otonio,Inta,46.08024692,10.33333333,1.86316984,0.791157665,8.513333333,14,3.9,531.6666667,0.683333333,0.566666667,8.2,0
12,otonio,Termas,66.44444444,9,1.447466706,0.67711166,9.67,15.93333333,3.133333333,202.3333333,0.65,0.623333333,7.8,0
13,otonio,Viale,92.36111109,11.66666667,1.720238367,0.699319998,7.9,15.8,1.8,113.3333333,0.833333333,0.193333333,7.45,0
14,primavera,Crespo,217.2222222,10.33333333,1.698395007,0.723109359,9.46,32.33666667,3.9,1951.666667,0.316666667,0.316666667,10.57,0
15,primavera,Espinillo,205.5555555,14,2.136272184,0.814739674,9.373333333,28.66666667,8.1,1501.666667,0.686666667,0.386666667,10.6,0
16,primavera,Gazano,2130.370371,11.33333333,1.075134368,0.451679875,8.16,25.53333333,7.533333333,371.6666667,0.373333333,0.13,8.94,14
17,primavera,Hernandez,318.3333333,14.66666667,2.205463688,0.823158655,8.07,28.13333333,3.766666667,229.3333333,0.643333333,0.5,9.17,0
18,primavera,Inta,167.7777778,8.333333333,1.613456662,0.762278105,9.303333333,26.63333333,4.433333333,821.3333333,0.43,0.343333333,10.12,0
19,primavera,Termas,164.6296296,12.33333333,2.064654578,0.823404682,9.106666667,31.1,5.4,377.3333333,0.45,0.306666667,9.79,0
20,primavera,Viale,160.7407407,7.666666667,1.459948158,0.722973064,9.79,31.66666667,8.033333333,151.6666667,1.09,0.34,10.59,0
21,verano,Crespo,213.7037037,10,1.444194008,0.638897815,9.45,23.46666667,0.6,1199.333333,0.216666667,0.216666667,12.34,0
22,verano,Espinillo,63.55555555,11.66666667,1.707664012,0.709194744,8.863333333,26,1.303333333,1478,0.603333333,0.503333333,11.33,0
23,verano,Gazano,1536.666667,8.666666667,1.215217067,0.565836337,9.63,23.3,4.266666667,262,0.283333333,0.18,11.23,19
24,verano,Hernandez,523.3333333,23.66666667,2.730224256,0.863837602,7.743333333,23.96666667,1.066666667,138,0.833333333,0.366666667,9.73,0
25,verano,Inta,72.40740739,11.33333333,1.760186762,0.729036211,8.913333333,22.16666667,3.8,401,0.533333333,0.533333333,11.83,0
26,verano,Termas,30.71759259,17.33333333,2.350713714,0.829162565,8.273333333,27.23333333,5.4,179,0.496666667,0.496666667,10.82,0
27,verano,Viale,697.7777778,11,1.550985055,0.660613901,7.646666667,26.3,5.3,950,0.733333333,0.3,10.36,0
