Estacion,Laguna_base,Rotiferos,Copepodos,Cladoceros
invierno,Crespo,1.0,0.0,0.0
invierno,Espinillo,0.8240004327662858,0.016393442571710114,0.15960612466200413
invierno,Gazano,0.9973388140533315,0.002661185946668637,0.0
invierno,Hernandez,0.9040634123136767,0.07737400140558137,0.01856258628074189
invierno,Inta,0.5815408982186279,0.36937493030359425,0.04908417147777786
invierno,Termas,0.47480512738493275,0.5132901107090936,0.011904761905973641
invierno,Viale,0.9423860018781299,0.02244312825206038,0.03517086986980973
verano,Crespo,0.49394255980068524,0.4990320662020797,0.007025373997235031
verano,Espinillo,0.826667639751263,0.16600635291874466,0.007326007329992352
verano,Gazano,0.9265746336842867,0.07342536631571338,0.0
verano,Hernandez,0.4950640862291234,0.23931330109232216,0.26562261267855447
verano,Inta,0.6058339230935947,0.39061997761586276,0.0035460992905424777
verano,Termas,0.7037628384734895,0.2832586367886159,0.012978524737894593
verano,Viale,0.7738202179766754,0.22506495482164934,0.0011148272016752235
otoño,Crespo,0.7590745758125047,0.10196960089223134,0.0
otoño,Espinillo,0.8094771241585371,0.1905228758414629,0.0
otoño,Gazano,1.0,0.0,0.0
otoño,Hernandez,0.4413606469573328,0.4331888257254364,0.0
otoño,Inta,0.3565867533463281,0.23570906136361036,0.0
otoño,Termas,0.17866591083061037,0.8213340891693898,0.0
otoño,Viale,0.43330959754070597,0.5483968795800708,0.0
primavera,Crespo,0.7354240698346325,0.25556692115694285,0.009009009008424641
primavera,Espinillo,0.6407538150416162,0.29894404608470687,0.060302138873677004
primavera,Gazano,0.22331838244050428,0.7310256050487892,0.0456560125107065
primavera,Hernandez,0.14049207890108512,0.5375515196355081,0.32195640146340687
primavera,Inta,0.6596255965356839,0.32308261076189776,0.01729179270241826
primavera,Termas,0.8480725623571098,0.15192743764289024,0.0
primavera,Viale,0.7115744237181545,0.2884255762818455,0.0
